time	I(L1)
2.229010630227715e-04	6.839304e+00
2.314731863634118e-04	3.006280e+00
2.333100000000000e-04	2.121770e+00
2.333400000000000e-04	2.107159e+00
2.334000000000000e-04	2.075071e+00
2.335200000000000e-04	1.995153e+00
2.336100000000000e-04	1.920814e+00
2.336120000000000e-04	1.918902e+00
2.336160000000000e-04	1.914805e+00
2.336240000000000e-04	1.905160e+00
2.336300000000000e-04	1.893384e+00
2.336306000000000e-04	1.892009e+00
2.336318000000000e-04	1.889256e+00
2.336342000000000e-04	1.883744e+00
2.336389999999999e-04	1.872718e+00
2.336485999999999e-04	1.850680e+00
2.336677999999999e-04	1.806686e+00
2.337061999999998e-04	1.719060e+00
2.337829999999996e-04	1.545123e+00
2.338100000000000e-04	1.484390e+00
2.338127000000000e-04	1.478330e+00
2.338181000000001e-04	1.466213e+00
2.338289000000003e-04	1.441998e+00
2.338505000000005e-04	1.393648e+00
2.338937000000011e-04	1.297267e+00
2.339801000000023e-04	1.105784e+00
2.341529000000047e-04	7.279686e-01
2.344985000000094e-04	-6.786330e-03
2.351897000000189e-04	-1.184271e+00
2.365721000000379e-04	-3.091432e+00
2.389434869571027e-04	-5.484257e+00
2.436862608712324e-04	-7.901843e+00
2.489824291746447e-04	-8.051088e+00
2.558494367815041e-04	-6.175599e+00
2.642465065726366e-04	-2.919234e+00
2.666800000000000e-04	-1.917693e+00
2.667030000000000e-04	-1.908116e+00
2.667490000000000e-04	-1.887633e+00
2.668410000000000e-04	-1.837834e+00
2.669100000000000e-04	-1.792082e+00
2.669120000000000e-04	-1.790510e+00
2.669160000000000e-04	-1.787035e+00
2.669240000000000e-04	-1.778678e+00
2.669247500000000e-04	-1.777782e+00
2.669262500000000e-04	-1.775935e+00
2.669292500000000e-04	-1.770456e+00
2.669300000000000e-04	-1.768835e+00
2.669300750000000e-04	-1.768668e+00
2.669302250000000e-04	-1.768334e+00
2.669305250000000e-04	-1.767667e+00
2.669311250000000e-04	-1.766333e+00
2.669323249999999e-04	-1.763667e+00
2.669347249999999e-04	-1.758331e+00
2.669395249999998e-04	-1.747651e+00
2.669491249999996e-04	-1.726276e+00
2.669683249999992e-04	-1.683539e+00
2.670067249999984e-04	-1.598274e+00
2.670835249999969e-04	-1.428737e+00
2.671800000000000e-04	-1.217732e+00
2.671896475000003e-04	-1.196769e+00
2.672089425000010e-04	-1.154917e+00
2.672475325000022e-04	-1.071584e+00
2.673247125000047e-04	-9.061417e-01
2.674790725000097e-04	-5.794985e-01
2.677877925000198e-04	5.715493e-02
2.684052325000399e-04	1.074883e+00
2.696401125000800e-04	2.740048e+00
2.717376458517277e-04	4.873316e+00
2.759327125550231e-04	7.231808e+00
2.809803812300797e-04	7.686869e+00
2.875230536918603e-04	6.189843e+00
2.954357691206159e-04	3.302295e+00
2.999800000000000e-04	1.576321e+00
3.000100000000000e-04	1.564782e+00
3.000700000000000e-04	1.538813e+00
3.001900000000000e-04	1.471100e+00
3.002800000000000e-04	1.405895e+00
3.002820000000000e-04	1.404186e+00
3.002860000000000e-04	1.400494e+00
3.002940000000000e-04	1.391660e+00
3.003000000000000e-04	1.380493e+00
3.003006000000000e-04	1.379179e+00
3.003017999999999e-04	1.376548e+00
3.003041999999999e-04	1.371279e+00
3.003090000000000e-04	1.360740e+00
3.003185999999999e-04	1.339673e+00
3.003377999999999e-04	1.297612e+00
3.003761999999998e-04	1.213814e+00
3.004529999999996e-04	1.047565e+00
3.004800000000000e-04	9.895562e-01
