time	I(L1)
2.054398725001603e-04	5.314981e+00
2.096180478359645e-04	8.042268e+00
2.144344391168662e-04	8.583846e+00
2.208010884731872e-04	7.160833e+00
2.285345163878282e-04	4.160635e+00
2.333100000000000e-04	2.142309e+00
2.333400000000000e-04	2.129330e+00
2.334000000000000e-04	2.101061e+00
2.335200000000000e-04	2.031432e+00
2.336100000000000e-04	1.967221e+00
2.336120000000000e-04	1.965578e+00
2.336160000000000e-04	1.962065e+00
2.336240000000000e-04	1.953840e+00
2.336300000000000e-04	1.943906e+00
2.336306000000000e-04	1.942749e+00
2.336318000000000e-04	1.940434e+00
2.336342000000000e-04	1.935796e+00
2.336389999999999e-04	1.926519e+00
2.336485999999999e-04	1.907975e+00
2.336677999999999e-04	1.870947e+00
2.337061999999998e-04	1.797155e+00
2.337829999999996e-04	1.650520e+00
2.338100000000000e-04	1.599270e+00
2.338127000000000e-04	1.594154e+00
2.338181000000001e-04	1.583926e+00
2.338289000000003e-04	1.563482e+00
2.338505000000005e-04	1.522648e+00
2.339801000000023e-04	1.279198e+00
2.341529000000047e-04	9.587628e-01
2.344985000000094e-04	3.323969e-01
2.351897000000189e-04	-6.865347e-01
2.365721000000379e-04	-2.382831e+00
2.389047600505592e-04	-4.596478e+00
2.435700801516017e-04	-7.178336e+00
2.490548932923310e-04	-7.856987e+00
2.561189174104436e-04	-6.475614e+00
2.646007325632177e-04	-3.407980e+00
2.666800000000000e-04	-2.522663e+00
2.667030000000000e-04	-2.512584e+00
2.667490000000000e-04	-2.491333e+00
2.668410000000000e-04	-2.441491e+00
2.669100000000000e-04	-2.397116e+00
2.669120000000000e-04	-2.395625e+00
2.669160000000000e-04	-2.392371e+00
2.669240000000000e-04	-2.384695e+00
2.669247500000000e-04	-2.383882e+00
2.669262500000000e-04	-2.382210e+00
2.669292500000000e-04	-2.377389e+00
2.669300000000000e-04	-2.375976e+00
2.669300750000000e-04	-2.375830e+00
2.669302250000000e-04	-2.375540e+00
2.669305250000000e-04	-2.374958e+00
2.669311250000000e-04	-2.373797e+00
2.669323249999999e-04	-2.371475e+00
2.669347249999999e-04	-2.366828e+00
2.669395249999998e-04	-2.357528e+00
2.669491249999996e-04	-2.338911e+00
2.669683249999992e-04	-2.301682e+00
2.670067249999984e-04	-2.227362e+00
2.670835249999969e-04	-2.079397e+00
2.671800000000000e-04	-1.894879e+00
2.671896475000003e-04	-1.876522e+00
2.672089425000010e-04	-1.839864e+00
2.672475325000022e-04	-1.766818e+00
2.673247125000047e-04	-1.621584e+00
2.674790725000097e-04	-1.333991e+00
2.677877925000198e-04	-7.700728e-01
2.684052325000399e-04	3.119308e-01
2.696401125000800e-04	2.287974e+00
2.721098725001603e-04	5.485836e+00
2.761655356424162e-04	7.892428e+00
2.808534550138391e-04	8.237242e+00
2.870381652573575e-04	6.730946e+00
2.946853027060029e-04	3.752867e+00
2.999800000000000e-04	1.603644e+00
3.000100000000000e-04	1.591365e+00
3.000700000000000e-04	1.564489e+00
3.001900000000000e-04	1.497663e+00
3.002800000000000e-04	1.435574e+00
3.002820000000000e-04	1.433978e+00
3.002860000000000e-04	1.430560e+00
3.002940000000000e-04	1.422524e+00
3.003000000000000e-04	1.412734e+00
3.003006000000000e-04	1.411591e+00
3.003017999999999e-04	1.409304e+00
3.003041999999999e-04	1.404724e+00
3.003090000000000e-04	1.395561e+00
3.003185999999999e-04	1.377245e+00
3.003377999999999e-04	1.340671e+00
3.003761999999998e-04	1.267782e+00
3.004529999999996e-04	1.123067e+00
3.004800000000000e-04	1.072439e+00
3.004827000000000e-04	1.067385e+00
3.004881000000001e-04	1.057282e+00
3.004989000000003e-04	1.037086e+00
3.005205000000006e-04	9.967200e-01
3.005637000000012e-04	9.161229e-01
3.006501000000023e-04	7.556076e-01
3.008229000000047e-04	4.378034e-01
3.011685000000095e-04	-1.833326e-01
3.018597000000190e-04	-1.365375e+00
3.032421000000379e-04	-3.483047e+00
3.060069000000759e-04	-6.136776e+00
3.095530114253576e-04	-7.781109e+00
3.147426237933911e-04	-8.047740e+00
3.211157959441001e-04	-6.460977e+00
3.294442329948677e-04	-3.245421e+00
3.333500000000000e-04	-1.627989e+00
3.333730000000000e-04	-1.618276e+00
